path,subject,section,topic_path,title,content_type,level,checked,quality_status,has_article,has_image,image_paths,image_type,image_quality,image_didactic_value,has_exercises,has_solutions,exercise_link_ok,solution_link_ok,placement_ok,needs_subtopics,umlauts_ok,no_mojibake,no_dev_artifacts,no_unnecessary_info,no_duplicates,frontmatter_ok,tags_ok,learning_goals_ok,common_mistakes_ok,key_takeaways_ok,navigation_topic_path_ok,reading_quality,structure_quality,language_quality,didactic_depth,examples_ok,misconceptions_ok,abgrenzung_ok,einstieg_ok,niveau_ok,aktualitaet_ok,redundancy_risk,priority,next_action,recommended_fix_type,notes
src/content/solutions/informatik/programmablauf-und-steuerung/binaerlogik-und-bedingungen/binaerlogik-und-bedingungen-anwenden-und-pruefen-v185-loesung.md,informatik,Programmablauf und Steuerung,programmablauf-und-steuerung/binaerlogik-und-bedingungen,Lösung – Binärlogik und Bedingungen – anwenden und prüfen,solution,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
public/images/overviews/v185/binaerlogik-und-bedingungen.svg,informatik,Programmablauf und Steuerung,programmablauf-und-steuerung/binaerlogik-und-bedingungen,Schaubild: Binärlogik und Bedingungen,illustration,einfach,partial,open,yes,yes,,svg,ok,structure_overview,yes,yes,open,open,partial,no,yes,yes,yes,partial,yes,not_needed,not_needed,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/articles/informatik/programmablauf-und-steuerung/zustandsautomaten/ueberblick/grundlagen-zustandsautomaten.md,informatik,Programmablauf und Steuerung,programmablauf-und-steuerung/zustandsautomaten,Grundlagen: Zustandsautomaten,article,einfach,partial,improve,yes,yes,/schlaufuchs-platform/images/overviews/v185/zustandsautomaten.svg,svg,ok,structure_overview,yes,yes,open,open,partial,no,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/exercises/informatik/programmablauf-und-steuerung/zustandsautomaten/zustandsautomaten-ruhig-einordnen-v185.md,informatik,Programmablauf und Steuerung,programmablauf-und-steuerung/zustandsautomaten,Zustandsautomaten – ruhig einordnen,exercise,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/exercises/informatik/programmablauf-und-steuerung/zustandsautomaten/zustandsautomaten-anwenden-und-pruefen-v185.md,informatik,Programmablauf und Steuerung,programmablauf-und-steuerung/zustandsautomaten,Zustandsautomaten – anwenden und prüfen,exercise,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/solutions/informatik/programmablauf-und-steuerung/zustandsautomaten/zustandsautomaten-ruhig-einordnen-v185-loesung.md,informatik,Programmablauf und Steuerung,programmablauf-und-steuerung/zustandsautomaten,Lösung – Zustandsautomaten – ruhig einordnen,solution,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/solutions/informatik/programmablauf-und-steuerung/zustandsautomaten/zustandsautomaten-anwenden-und-pruefen-v185-loesung.md,informatik,Programmablauf und Steuerung,programmablauf-und-steuerung/zustandsautomaten,Lösung – Zustandsautomaten – anwenden und prüfen,solution,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
public/images/overviews/v185/zustandsautomaten.svg,informatik,Programmablauf und Steuerung,programmablauf-und-steuerung/zustandsautomaten,Schaubild: Zustandsautomaten,illustration,einfach,partial,open,yes,yes,,svg,ok,structure_overview,yes,yes,open,open,partial,no,yes,yes,yes,partial,yes,not_needed,not_needed,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/articles/informatik/programmablauf-und-steuerung/ereignisgesteuerte-programme/ueberblick/grundlagen-ereignisgesteuerte-programme.md,informatik,Programmablauf und Steuerung,programmablauf-und-steuerung/ereignisgesteuerte-programme,Grundlagen: Ereignisgesteuerte Programme,article,einfach,partial,improve,yes,yes,/schlaufuchs-platform/images/overviews/v185/ereignisgesteuerte-programme.svg,svg,ok,structure_overview,yes,yes,open,open,partial,no,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/exercises/informatik/programmablauf-und-steuerung/ereignisgesteuerte-programme/ereignisgesteuerte-programme-ruhig-einordnen-v185.md,informatik,Programmablauf und Steuerung,programmablauf-und-steuerung/ereignisgesteuerte-programme,Ereignisgesteuerte Programme – ruhig einordnen,exercise,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/exercises/informatik/programmablauf-und-steuerung/ereignisgesteuerte-programme/ereignisgesteuerte-programme-anwenden-und-pruefen-v185.md,informatik,Programmablauf und Steuerung,programmablauf-und-steuerung/ereignisgesteuerte-programme,Ereignisgesteuerte Programme – anwenden und prüfen,exercise,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/solutions/informatik/programmablauf-und-steuerung/ereignisgesteuerte-programme/ereignisgesteuerte-programme-ruhig-einordnen-v185-loesung.md,informatik,Programmablauf und Steuerung,programmablauf-und-steuerung/ereignisgesteuerte-programme,Lösung – Ereignisgesteuerte Programme – ruhig einordnen,solution,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/solutions/informatik/programmablauf-und-steuerung/ereignisgesteuerte-programme/ereignisgesteuerte-programme-anwenden-und-pruefen-v185-loesung.md,informatik,Programmablauf und Steuerung,programmablauf-und-steuerung/ereignisgesteuerte-programme,Lösung – Ereignisgesteuerte Programme – anwenden und prüfen,solution,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
public/images/overviews/v185/ereignisgesteuerte-programme.svg,informatik,Programmablauf und Steuerung,programmablauf-und-steuerung/ereignisgesteuerte-programme,Schaubild: Ereignisgesteuerte Programme,illustration,einfach,partial,open,yes,yes,,svg,ok,structure_overview,yes,yes,open,open,partial,no,yes,yes,yes,partial,yes,not_needed,not_needed,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/articles/informatik/programmierpraxis-und-tests/eingabevalidierung/ueberblick/grundlagen-eingabevalidierung.md,informatik,Programmierpraxis und Tests,programmierpraxis-und-tests/eingabevalidierung,Grundlagen: Eingabevalidierung,article,einfach,partial,improve,yes,yes,/schlaufuchs-platform/images/overviews/v185/eingabevalidierung.svg,svg,ok,structure_overview,yes,yes,open,open,partial,no,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/exercises/informatik/programmierpraxis-und-tests/eingabevalidierung/eingabevalidierung-ruhig-einordnen-v185.md,informatik,Programmierpraxis und Tests,programmierpraxis-und-tests/eingabevalidierung,Eingabevalidierung – ruhig einordnen,exercise,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/exercises/informatik/programmierpraxis-und-tests/eingabevalidierung/eingabevalidierung-anwenden-und-pruefen-v185.md,informatik,Programmierpraxis und Tests,programmierpraxis-und-tests/eingabevalidierung,Eingabevalidierung – anwenden und prüfen,exercise,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/solutions/informatik/programmierpraxis-und-tests/eingabevalidierung/eingabevalidierung-ruhig-einordnen-v185-loesung.md,informatik,Programmierpraxis und Tests,programmierpraxis-und-tests/eingabevalidierung,Lösung – Eingabevalidierung – ruhig einordnen,solution,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/solutions/informatik/programmierpraxis-und-tests/eingabevalidierung/eingabevalidierung-anwenden-und-pruefen-v185-loesung.md,informatik,Programmierpraxis und Tests,programmierpraxis-und-tests/eingabevalidierung,Lösung – Eingabevalidierung – anwenden und prüfen,solution,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
public/images/overviews/v185/eingabevalidierung.svg,informatik,Programmierpraxis und Tests,programmierpraxis-und-tests/eingabevalidierung,Schaubild: Eingabevalidierung,illustration,einfach,partial,open,yes,yes,,svg,ok,structure_overview,yes,yes,open,open,partial,no,yes,yes,yes,partial,yes,not_needed,not_needed,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/articles/informatik/programmierpraxis-und-tests/fehlerbehandlung-und-ausnahmen/ueberblick/grundlagen-fehlerbehandlung-und-ausnahmen.md,informatik,Programmierpraxis und Tests,programmierpraxis-und-tests/fehlerbehandlung-und-ausnahmen,Grundlagen: Fehlerbehandlung und Ausnahmen,article,einfach,partial,improve,yes,yes,/schlaufuchs-platform/images/overviews/v185/fehlerbehandlung-und-ausnahmen.svg,svg,ok,structure_overview,yes,yes,open,open,partial,no,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/exercises/informatik/programmierpraxis-und-tests/fehlerbehandlung-und-ausnahmen/fehlerbehandlung-und-ausnahmen-ruhig-einordnen-v185.md,informatik,Programmierpraxis und Tests,programmierpraxis-und-tests/fehlerbehandlung-und-ausnahmen,Fehlerbehandlung und Ausnahmen – ruhig einordnen,exercise,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/exercises/informatik/programmierpraxis-und-tests/fehlerbehandlung-und-ausnahmen/fehlerbehandlung-und-ausnahmen-anwenden-und-pruefen-v185.md,informatik,Programmierpraxis und Tests,programmierpraxis-und-tests/fehlerbehandlung-und-ausnahmen,Fehlerbehandlung und Ausnahmen – anwenden und prüfen,exercise,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/solutions/informatik/programmierpraxis-und-tests/fehlerbehandlung-und-ausnahmen/fehlerbehandlung-und-ausnahmen-ruhig-einordnen-v185-loesung.md,informatik,Programmierpraxis und Tests,programmierpraxis-und-tests/fehlerbehandlung-und-ausnahmen,Lösung – Fehlerbehandlung und Ausnahmen – ruhig einordnen,solution,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/solutions/informatik/programmierpraxis-und-tests/fehlerbehandlung-und-ausnahmen/fehlerbehandlung-und-ausnahmen-anwenden-und-pruefen-v185-loesung.md,informatik,Programmierpraxis und Tests,programmierpraxis-und-tests/fehlerbehandlung-und-ausnahmen,Lösung – Fehlerbehandlung und Ausnahmen – anwenden und prüfen,solution,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
public/images/overviews/v185/fehlerbehandlung-und-ausnahmen.svg,informatik,Programmierpraxis und Tests,programmierpraxis-und-tests/fehlerbehandlung-und-ausnahmen,Schaubild: Fehlerbehandlung und Ausnahmen,illustration,einfach,partial,open,yes,yes,,svg,ok,structure_overview,yes,yes,open,open,partial,no,yes,yes,yes,partial,yes,not_needed,not_needed,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/articles/informatik/programmierpraxis-und-tests/logging-und-spuren/ueberblick/grundlagen-logging-und-spuren.md,informatik,Programmierpraxis und Tests,programmierpraxis-und-tests/logging-und-spuren,Grundlagen: Logging und Programmspruren,article,einfach,partial,improve,yes,yes,/schlaufuchs-platform/images/overviews/v185/logging-und-spuren.svg,svg,ok,structure_overview,yes,yes,open,open,partial,no,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/exercises/informatik/programmierpraxis-und-tests/logging-und-spuren/logging-und-spuren-ruhig-einordnen-v185.md,informatik,Programmierpraxis und Tests,programmierpraxis-und-tests/logging-und-spuren,Logging und Programmspruren – ruhig einordnen,exercise,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/exercises/informatik/programmierpraxis-und-tests/logging-und-spuren/logging-und-spuren-anwenden-und-pruefen-v185.md,informatik,Programmierpraxis und Tests,programmierpraxis-und-tests/logging-und-spuren,Logging und Programmspruren – anwenden und prüfen,exercise,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/solutions/informatik/programmierpraxis-und-tests/logging-und-spuren/logging-und-spuren-ruhig-einordnen-v185-loesung.md,informatik,Programmierpraxis und Tests,programmierpraxis-und-tests/logging-und-spuren,Lösung – Logging und Programmspruren – ruhig einordnen,solution,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/solutions/informatik/programmierpraxis-und-tests/logging-und-spuren/logging-und-spuren-anwenden-und-pruefen-v185-loesung.md,informatik,Programmierpraxis und Tests,programmierpraxis-und-tests/logging-und-spuren,Lösung – Logging und Programmspruren – anwenden und prüfen,solution,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
public/images/overviews/v185/logging-und-spuren.svg,informatik,Programmierpraxis und Tests,programmierpraxis-und-tests/logging-und-spuren,Schaubild: Logging und Programmspruren,illustration,einfach,partial,open,yes,yes,,svg,ok,structure_overview,yes,yes,open,open,partial,no,yes,yes,yes,partial,yes,not_needed,not_needed,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/articles/informatik/programmierpraxis-und-tests/konfiguration-und-umgebung/ueberblick/grundlagen-konfiguration-und-umgebung.md,informatik,Programmierpraxis und Tests,programmierpraxis-und-tests/konfiguration-und-umgebung,Grundlagen: Konfiguration und Umgebung,article,einfach,partial,improve,yes,yes,/schlaufuchs-platform/images/overviews/v185/konfiguration-und-umgebung.svg,svg,ok,structure_overview,yes,yes,open,open,partial,no,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/exercises/informatik/programmierpraxis-und-tests/konfiguration-und-umgebung/konfiguration-und-umgebung-ruhig-einordnen-v185.md,informatik,Programmierpraxis und Tests,programmierpraxis-und-tests/konfiguration-und-umgebung,Konfiguration und Umgebung – ruhig einordnen,exercise,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
